response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2664,0.0000,0.0000,0.0000,0.2644,0.0019,200,3.3591
0.2649,0.0000,0.0000,0.0000,0.2636,0.0011,200,3.3712
0.2563,0.0000,0.0000,0.0000,0.2548,0.0014,200,3.3827
0.2545,0.0000,0.0000,0.0000,0.2531,0.0014,200,3.3901
1.5987,0.0000,0.0000,0.0000,1.3344,0.2642,200,2.0486
0.2702,0.0000,0.0000,0.0000,0.2689,0.0012,200,3.3804
0.2548,0.0000,0.0000,0.0000,0.2523,0.0024,200,3.4019
0.2631,0.0000,0.0000,0.0000,0.2619,0.0012,200,3.3961
0.2514,0.0000,0.0000,0.0000,0.2497,0.0016,200,3.4117
0.2551,0.0000,0.0000,0.0000,0.2540,0.0011,200,3.4138
0.2598,0.0000,0.0000,0.0000,0.2582,0.0016,200,3.4199
0.2563,0.0000,0.0000,0.0000,0.2551,0.0012,200,3.4277
0.2554,0.0000,0.0000,0.0000,0.2543,0.0010,200,3.4328
0.2602,0.0000,0.0000,0.0000,0.2590,0.0012,200,3.4371
0.2612,0.0000,0.0000,0.0000,0.2574,0.0038,200,3.4430
0.2537,0.0000,0.0000,0.0000,0.2520,0.0016,200,3.4546
0.2623,0.0000,0.0000,0.0000,0.2603,0.0020,200,3.4490
0.2651,0.0000,0.0000,0.0000,0.2617,0.0034,200,3.4648
0.2566,0.0000,0.0000,0.0000,0.2529,0.0036,200,3.4779
0.2608,0.0000,0.0000,0.0000,0.2589,0.0019,200,3.4755
0.2530,0.0000,0.0000,0.0000,0.2513,0.0017,200,3.4875
0.2722,0.0000,0.0000,0.0000,0.2672,0.0049,200,3.4698
0.2456,0.0000,0.0000,0.0000,0.2439,0.0017,200,3.4994
0.2638,0.0000,0.0000,0.0000,0.2622,0.0016,200,3.4840
0.2620,0.0000,0.0000,0.0000,0.2591,0.0028,200,3.4900
0.2468,0.0000,0.0000,0.0000,0.2453,0.0014,200,3.5134
0.2612,0.0000,0.0000,0.0000,0.2599,0.0012,200,3.5018
0.2589,0.0000,0.0000,0.0000,0.2573,0.0015,200,3.5076
0.2637,0.0000,0.0000,0.0000,0.2620,0.0016,200,3.5196
0.2599,0.0000,0.0000,0.0001,0.2586,0.0012,200,3.5259
0.2501,0.0000,0.0000,0.0000,0.2479,0.0021,200,3.5390
1.7339,0.0000,0.0000,0.0000,1.4938,0.2400,200,2.0556
0.2693,0.0000,0.0000,0.0000,0.2665,0.0028,200,3.5314
0.2462,0.0000,0.0000,0.0000,0.2451,0.0010,200,3.5573
0.2627,0.0000,0.0000,0.0000,0.2615,0.0012,200,3.5486
0.2686,0.0000,0.0000,0.0000,0.2662,0.0022,200,3.5477
0.2517,0.0000,0.0000,0.0000,0.2503,0.0013,200,3.5719
0.2617,0.0000,0.0000,0.0000,0.2601,0.0016,200,3.5660
0.2671,0.0000,0.0000,0.0000,0.2652,0.0019,200,3.5681
0.2527,0.0000,0.0000,0.0000,0.2502,0.0025,200,3.5866
0.2493,0.0000,0.0000,0.0000,0.2483,0.0010,200,3.5944
0.2670,0.0000,0.0000,0.0000,0.2653,0.0017,200,3.5829
0.2524,0.0000,0.0000,0.0000,0.2502,0.0021,200,3.6009
0.2633,0.0000,0.0000,0.0000,0.2615,0.0017,200,3.5948
0.2542,0.0000,0.0000,0.0000,0.2495,0.0047,200,3.6049
1.7841,0.0000,0.0000,0.0000,0.3838,1.4001,200,2.0819
0.2540,0.0000,0.0000,0.0000,0.2529,0.0010,200,3.6228
0.2663,0.0000,0.0000,0.0000,0.2650,0.0012,200,3.6255
